Program,BA ELS,BA FIL,BA HISTORY,BA POL SCI,BA PSYCH,BA SOCIO,BEED Lang Ed,BEED SCI MAT,BET-CET,BET-CHET,BET-ELET,BET-ESET,BET-MET,BET-MMT,BPED,BS ECON,BS ENTREP,BS HM,BS PHIL,BS PSYCH,BSA,BSBA-B.ECON,BSBA-MKT MGT,BSBIO(AnBio),BSBIO(Bdv),BSBIO(MCB),BSBIO(PlBio),BSCA,BSCE,BSCERE,BSCHE,BSCHEM,BSCPE,BSCS,BSED BIO,BSED CHEM,BSED FIL,BSED MATH,BSED PHYS,BSEE,BSEM,BSEnE,BSEsE,BSIAM,BSIS,BSIT,BSMARINE BIO,BSMATH,BSME,BSMETE,BSNURSING,BSPHYSICS,BSSTAT,BTLED-HE,BTLED-IA,BTVTED-DT
BA ELS,0,169.8467453,165.1148136,199.0324716,194.2161548,161.8771936,175.3909308,199.333388,181.6001142,229.8007517,221.6900789,195.9866047,185.2140623,202.0201482,180.0397519,159.8743258,165.4770582,183.9507671,157.2648129,191.8513475,189.4372809,162.7786211,166.7167828,162.3347138,156.8842195,160.0496693,161.1037542,173.4777675,203.1252757,213.7033029,286.7824948,181.4424004,229.2299656,158.1957176,191.4082398,194.9427966,168.8095583,171.6886012,185.6510317,279.3170983,182.1715198,340.7564717,287.6880371,202.7515606,171.3904158,171.3582335,176.2116811,161.0175706,192.6338174,201.6185265,232.9506236,230.7299482,180.7181434,190.2031423,211.8483366,222.5053528
BA FIL,169.8467453,0,110.302074,159.0043798,153.1208081,113.4464752,118.9164139,154.2317702,129.7010053,192.0050496,181.8239182,152.3707248,136.7964594,157.1649546,131.2957143,96.63163119,105.7928105,156.296403,99.82371533,148.4069394,145.507143,101.1405938,106.4118684,104.538651,96.91225504,99.72064098,102.7836608,124.5254838,160.2619188,170.4526036,257.5523057,130.6552836,196.895099,105.7534687,146.1654629,150.2421847,86.96312639,116.8331918,137.0055417,249.6192689,132.2275045,318.3097449,259.8555479,160.5882153,118.2235604,119.3783971,124.3221983,99.32106365,146.7133105,157.237948,195.8272709,194.1590519,128.8976477,143.2075085,170.330597,183.2261484
BA HISTORY,165.1148136,110.302074,0,151.9873327,151.2533095,107.2606663,123.3950539,145.6448261,127.0181076,190.7655898,181.031208,153.0467792,133.6395214,156.5145251,121.3454936,92.99502835,102.7550276,148.40102,95.70260182,146.169005,142.6313787,93.94071392,107.4470554,101.2715494,90.20229502,96.87445956,98.92972211,122.3212516,156.454272,169.5567215,255.5162929,126.5069763,194.8782226,100.6634397,135.7812682,137.2961342,103.2780418,101.4487339,126.4675076,249.3047819,128.4623397,313.9032544,257.4075078,157.8884977,112.9399034,114.2871881,120.5729719,90.23805898,144.1864199,154.5164652,191.3384481,190.8329267,126.5776358,133.1480929,163.6072075,175.4643242
BA POL SCI,199.0324716,159.0043798,151.9873327,0,189.3566888,151.963693,173.5332915,191.1742987,169.984833,220.7594227,212.2576916,187.4872722,175.0466589,191.7643598,169.5503342,146.6097259,150.5641245,187.3716524,145.3101023,185.7228035,172.3559047,146.0657123,149.5984432,150.1672297,142.3989164,148.1391624,149.5329146,163.2368698,191.4112123,202.2352614,278.0423053,169.3622481,219.3942208,147.0498548,180.0304424,185.0372996,159.4348186,161.6374664,176.367478,269.9857554,171.5372494,329.5082543,277.0213031,193.4758154,158.3518627,157.7547352,164.4346928,145.4025809,180.3715934,188.6598147,224.2012254,221.6558286,164.3027129,181.797647,203.4071425,214.0465601
BA PSYCH,194.2161548,153.1208081,151.2533095,189.3566888,0,150.6944179,167.6910492,188.1756665,166.1891422,217.3019483,205.9846354,184.7543858,170.0318059,184.8116653,157.7728377,143.2485022,148.1195616,186.7825951,144.7227485,40.61828007,177.7660476,145.0458808,149.3649893,143.6671536,140.4343022,142.4561222,143.1970015,161.0206762,189.2856298,201.0421164,275.7005018,162.8909264,219.2467963,146.4430232,177.317048,178.0213306,152.3739081,153.9341957,169.9569454,265.1246843,167.9862482,328.6267328,279.2553587,189.3334422,157.4281289,157.4260059,158.4401707,140.521919,179.0288482,188.0059979,216.3464136,216.4996443,163.2537954,175.2097031,197.5707248,209.5549963
BA SOCIO,161.8771936,113.4464752,107.2606663,151.963693,150.6944179,0,132.5453767,157.3286991,130.4707492,191.114537,182.1334593,152.6726668,135.580971,157.3432695,128.9116699,98.77359034,105.2847323,153.9562468,98.59289134,145.7267691,142.3936587,101.7289439,107.6978049,92.87722501,87.22612958,92.2508302,91.56128215,122.014787,158.54896,171.8708838,256.5946371,129.821713,194.3495746,99.99543386,145.1560305,150.2953656,113.4686584,118.4260965,136.9967798,248.9875503,132.0096969,316.2468491,258.5401945,159.9615406,117.8254097,116.2007497,122.2642585,96.39180219,144.4251072,156.3566919,190.7952605,193.2012334,122.2494618,143.6322113,171.3582557,185.054239
BEED Lang Ed,175.3909308,118.9164139,123.3950539,173.5332915,167.6910492,132.5453767,0,89.55358531,144.6863481,203.0100862,194.3450787,168.2384289,149.5393378,161.4670292,127.7422665,122.2124186,127.2802069,170.6350742,119.1729564,164.2012817,161.3904721,124.9157238,129.0074725,126.0934623,120.4160108,121.5960324,123.5132906,142.593622,174.7641089,182.3052354,266.8788872,144.5657502,208.433382,125.9116002,139.3692078,132.0420331,98.57758378,107.1660154,124.9725983,259.3344897,148.2709177,322.3653429,269.9927714,171.787038,137.0752813,136.7543239,142.9223338,112.3612429,163.5204685,172.2655927,201.2889968,205.181177,148.2733399,133.3120087,151.1615026,172.7279803
BEED SCI MAT,199.333388,154.2317702,145.6448261,191.1742987,188.1756665,157.3286991,89.55358531,0,167.1604226,216.0152793,210.9138544,187.9959235,170.6817454,180.9649772,150.5313814,147.4156565,151.584443,190.4414411,144.0682382,184.0266952,179.9433558,149.7438426,154.4883719,147.8016478,143.2908845,144.3624029,147.2039372,165.6038308,191.3139791,197.7418601,277.1166101,164.6890134,223.2943296,150.4785041,117.9848335,100.8991301,121.5776832,107.4136904,105.2581468,272.5928459,168.0068493,325.2049872,280.6201494,191.2581295,160.3120717,159.9263919,162.8003149,136.4537885,181.4791373,187.6201766,218.1500757,213.3910005,170.1810314,142.1819828,159.6702517,177.658549
BET-CET,181.6001142,129.7010053,127.0181076,169.984833,166.1891422,130.4707492,144.6863481,167.1604226,0,120.8064029,157.3501509,113.5082775,77.63543777,101.957335,139.7155213,118.2346939,117.4821417,159.637758,119.0919664,160.311925,154.3599548,118.4325066,122.7400415,119.3656392,113.0751952,117.9445304,118.9701944,126.5411237,90.71653691,123.6467075,190.1333462,139.270793,154.7872353,110.1539378,156.2385242,158.5645265,129.2405889,131.6884415,146.9315009,210.1549599,115.1691197,261.2525125,211.2257129,124.4060594,116.9179937,115.9525045,137.2545668,116.5704757,97.7146488,109.5091049,201.3197268,192.6015281,135.9895635,149.8275817,165.5835168,180.649625
BET-CHET,229.8007517,192.0050496,190.7655898,220.7594227,217.3019483,191.114537,203.0100862,216.0152793,120.8064029,0,186.0326742,147.1916847,127.31117,127.1098426,199.6642606,184.350746,185.2551116,210.8591078,184.5759549,210.6497991,207.0322959,184.5997055,186.4674844,181.8899168,179.5558624,182.0472171,182.2753969,191.9923653,126.1203617,139.9996955,155.0509858,173.4298908,188.9321885,178.2067286,197.5308638,205.2649928,191.9658161,194.0589432,192.8178766,220.8345744,161.9356741,227.6406688,227.3860509,163.3430609,183.0356959,182.2337532,192.0842368,182.8724005,128.9663282,124.9329385,247.300164,235.1417521,194.5291992,208.8195011,224.3801135,238.0946045
