,PROG CODE,COURSE_NAME
0,BSCE        ,BACHELOR OF SCIENCE IN CIVIL ENGINEERING
1,BSBIO(MCB)  ,BACHELOR OF SCIENCE IN BIOLOGY(MICROBIOLOGY)
2,BSEE        ,BACHELOR OF SCIENCE IN ELECTRICAL ENGINEERING
3,BSMETE      ,BACHELOR OF SCIENCE METALLURGICAL ENGINEERING
4,BSBIO(AnBio),BACHELOR OF SCIENCE IN BIOLOGY(ANIMAL BIOLOGY)
5,BSCHEM      ,BACHELOR OF SCIENCE IN CHEMISTRY
6,BSCHE       ,BACHELOR OF SCIENCE IN CHEMICAL ENGINEERING
7,BSPHYSICS   ,BACHELOR OF SCIENCE IN PHYSICS
8,BSNURSING   ,BACHELOR OF SCIENCE IN NURSING
9,BSEsE       ,BACHELOR OF SCIENCE IN ELECTRONICS ENGINEERING
10,BSA         ,BACHELOR OF SCIENCE IN ACCOUNTANCY
11,BSMARINE BIO,BACHELOR OF SCIENCE IN MARINE BIOLOGY
12,BSIT        ,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
13,BSCPE       ,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
14,BA POL SCI  ,BACHELOR OF ARTS IN POLITICAL SCIENCE
15,BSME        ,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
16,BA ELS      ,BACHELOR OF ARTS IN ENGLISH LANGUAGE STUDIES
17,BSBIO(Bdv)  ,BACHELOR OF SCIENCE IN BIOLOGY (BIODIVERSITY)
18,BSMATH      ,BACHELOR OF SCIENCE IN MATHEMATICS
19,BSBIO(PlBio),BACHELOR OF SCIENCE IN BIOLOGY(PLANT BIOLOGY)
20,BSED BIO    ,BACHELOR OF SECONDARY EDUCATION (BIOLOGY)
21,BS PSYCH    ,BACHELOR OF SCIENCE IN PSYCHOLOGY
22,BSCS        ,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
23,BS HM       ,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
24,BS PHIL     ,BACHELOR OF SCIENCE IN PHILOSOPHY MAJOR IN APPLIED ETHICS
25,BET-CET     ,BACHELOR OF ENGINEERING TECHNOLOGY - CIVIL ENGINEERING TECHNOLOGY
26,BET-MMT     ,BACHELOR OF ENGINEERING TECHNOLOGY-METALLURGY AND MATERIALS ENGINEERING TECHNOLOGY
27,BSEM        ,BACHELOR OF SCIENCE IN MINING ENG'G.
28,BSBA-MKT MGT,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (MARKETING MANAGEMENT)
29,BS ECON     ,BACHELOR OF SCIENCE IN ECONOMICS
30,BSIAM       ,BACHELOR OF SCIENCE IN INDUSTRIAL AUTOMATION & MECHATRONICS
31,BS ENTREP   ,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP
32,BSED CHEM   ,BACHELOR OF SECONDARY EDUCATION (CHEMISTRY)
33,BTLED-IA    ,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION-INDUSTRIAL ARTS
34,BTVTED-DT   ,BACHELOR OF TECHNICAL-VOCATIONAL TEACHER EDUCATION DRAFTING TECHNOLOGY
35,BPED        ,BACHELOR OF PHYSICAL EDUCATION
36,BSBA-B.ECON ,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (BUSINESS ECONOMICS)
37,BSED PHYS   ,BACHELOR OF SECONDARY EDUCATION (PHYSICS)
38,BSED MATH   ,BACHELOR OF SECONDARY EDUCATION (MATHEMATICS)
39,BSIS        ,BACHELOR OF SCIENCE IN INFORMATION SYSTEMS
40,BSSTAT      ,BACHELOR OF SCIENCE IN STATISTICS
41,BA PSYCH    ,BACHELOR OF ARTS IN PSYCHOLOGY
42,BEED SCI MAT,BACHELOR OF ELEMENTARY EDUCATION (SCIENCE AND MATHEMATICS)
43,BSED FIL    ,BACHELOR OF SECONDARY EDUCATION (FILIPINO)
44,BEED Lang Ed,BACHELOR OF ELEMENTARY EDUCATION (LANGUAGE EDUCATION)
45,BA HISTORY  ,BACHELOR OF ARTS IN HISTORY
46,BSCERE      ,BACHELOR OF SCIENCE IN CERAMIC ENGINEERING
47,BTLED-HE    ,BACHELOR OF TECHNOLOGY AND LIVELIHOOD EDUCATION -HOME ECONOMICS
48,BA FIL      ,BATSILYER NG SINING SA FILIPINO
49,BA SOCIO    ,BACHELOR OF ARTS IN SOCIOLOGY
50,BET-ELET    ,BACHELOR OF ENGINEERING TECHNOLOGY-ELECTRICAL ENGINEERING TECHNOLOGY
51,BET-CHET    ,BACHELOR OF ENGINEERING TECHNOLOGY-CHEMICAL ENGINEERING TECHNOLOGY
52,BET-ESET    ,BACHELOR OF ENGINEERING TECHNOLOGY-ELECTRONICS ENGINEERING TECHNOLOGY
53,BET-MET     ,BACHELOR OF ENGINEERING TECHNOLOGY-MECHANICAL ENGINEERING TECHNOLOGY
54,BSEnE       ,BS ENVIRONMENTAL ENGINEERING
55,BSCA        ,BACHELOR OF SCIENCE IN COMPUTER APPLICATIONS
56,BS EnvET    ,BACHELOR OF SCIENCE IN ENVIRONMENTAL ENGINEERING TECHNOLOGY
